Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
07/09/2022 19:06;Kelli;1,38014E+18;adriannalakatos;1,22364E+18;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi!! ? https://t.co/gArlv6Mhf0;;;0;1,56756E+18
07/09/2022 18:50;HLor_NFT_Collector;1,53425E+18;adriannalakatos;1,22364E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hiiiii! Sad girl, BFF, WoWG here.?;;;0;1,56756E+18
07/09/2022 18:40;JH;1,46073E+18;adriannalakatos;1,22364E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi there! https://t.co/FwENCnXYys;;;0;1,56755E+18
07/09/2022 18:38;rita v ? (????,?) (?,?);1,38861E+18;livpasquarelli;1,35455E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@livpasquarelli @crypto_coven hot occultist ??;;;0;1,56755E+18
07/09/2022 18:14;Uppercut Training Club | APPLICATIONS DUE SEPT 16!;1,47922E+18;UppercutNFT;1,47922E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"The first task we architected the tool for is generating backstories for heroes. Next up: creating interesting spells for witches. *cough cough @crypto_coven* 

Other use cases for creative and #film3 communities to collaborate around stories coming soon! ?(2/3)";;;0;1,56755E+18
07/09/2022 18:10;JenMarie.eth losing sleep watching #BB24LiveFeeds;109433665;adriannalakatos;1,22364E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Heyyy fren!! ??????;;;0;1,56755E+18
07/09/2022 17:45;Diam?nd.eth;4099769379;ROCKSTAR77716;1,44612E+18;sv;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@ROCKSTAR77716 @crypto_coven tysm ??;;;0;1,56754E+18
07/09/2022 17:44;linza101;1,56048E+18;cMeOnThBlkChain;4099769379;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@cMeOnThBlkChain @crypto_coven What is your floor price send me DM on @NFTssaga;;;0;1,56754E+18
07/09/2022 17:42;PaulinaRez ????;1,44612E+18;cMeOnThBlkChain;4099769379;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@cMeOnThBlkChain @crypto_coven Looks great, congratulations ?;;;0;1,56754E+18
07/09/2022 17:42;Diam?nd.eth;4099769379;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;She is an absolute beautyyyyy ?? Soo happy to add this gem to my collection ?  #cryptocoven @crypto_coven #NewNFTProfilePic #NFTCommunity https://t.co/gUUAhVoOhg;;;2;1,56754E+18
